"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"Peru","2,237,842","+1,491","201,209","+33","N/A","N/A","N/A","978","66,555","5,984","20,363,118","605,615","33,623,860","South America"
"Czechia","2,172,256","+21,988","33,271","+114","1,872,317","+601","266,668","1,069","202,311","3,099","43,809,304","4,080,137","10,737,213","Europe"
"Thailand","2,120,758","+4,886","20,812","+43","2,025,754","+6,326","74,192","1,369","30,275","297","14,913,135","212,896","70,048,860","Asia"
"Iraq","2,082,061","+889","23,844","+24","2,046,224","+1,203","11,993","103","50,167","575","16,363,328","394,273","41,502,505","Asia"
"Canada","1,795,629","+3,129","29,714","+27","1,739,899","+2,643","26,016","497","46,991","778","48,895,595","1,279,582","38,212,152","North America"
"Romania","1,780,808","+1,141","56,649","+79","1,689,184","+2,432","34,975","1,121","93,455","2,973","16,037,036","841,607","19,055,244","Europe"
"Belgium","1,766,035","+16,566","27,015","+49","1,340,916","+7,106","398,104","760","151,444","2,317","24,726,131","2,120,360","11,661,287","Europe"
"Chile","1,764,274","+1,523","38,356","+10","1,658,440","+1,735","67,478","688","91,180","1,982","25,644,143","1,325,329","19,349,263","South America"
"Japan","1,727,304","+83","18,360","+1","1,708,079","+73","865","43","13,717","146","27,926,519","221,769","125,926,107","Asia"
"Bangladesh","1,576,566","+282","27,983","+2","1,541,348","+383","7,235","1,382","9,439","168","10,907,602","65,307","167,019,482","Asia"
"Israel","1,344,103","+443","8,199","+3","1,330,366","+566","5,538","115","144,124","879","31,188,024","3,344,202","9,326,000","Asia"
"Pakistan","1,285,254","+414","28,737","+9","1,242,354","+118","14,163","896","5,662","127","22,028,156","97,050","226,977,186","Asia"
"Serbia","1,257,025","+2,180","11,744","+53","1,196,695","+3,430","48,586","191","144,696","1,352","6,830,241","786,229","8,687,342","Europe"
"Vietnam","1,252,590","+14,508","25,448","+196","992,052","+2,704","235,090","6,497","12,706","258","68,597,022","695,834","98,582,463","Asia"
"Sweden","1,209,943","+2,428","15,135","+1","1,159,123","+630","35,685","41","118,753","1,485","13,708,481","1,345,456","10,188,725","Europe"
"Austria","1,170,362","+10,367","12,553","+61","1,022,661","+14,752","135,148","649","128,903","1,383","111,071,336","12,233,329","9,079,404","Europe"
"Portugal","1,151,919","+4,670","18,458","+17","1,077,683","+2,446","55,778","116","113,440","1,818","21,283,107","2,095,939","10,154,448","Europe"
"Hungary","1,114,260","+11,152","34,713","+192","891,691","+9,032","187,856","562","115,761","3,606","8,474,664","880,440","9,625,484","Europe"
"Switzerland","1,026,159","+9,743","11,587","+23","862,570","+1,070","152,002","207","117,349","1,325","12,468,877","1,425,906","8,744,527","Europe"
"Kazakhstan","972,292","+751","12,703","+7","937,383","+1,433","22,206","528","50,917","665","11,575,012","606,161","19,095,600","Asia"
"Cuba","962,628","+142","8,305","+1","953,566","+229","757","25","85,062","734","11,116,221","982,277","11,316,790","North America"
"Jordan","958,990","+5,047","11,633","+25","890,366","+3,292","56,991","1,105","92,683","1,124","12,220,357","1,181,055","10,346,981","Asia"
"Morocco","950,088","+171","14,779","+3","932,421","+130","2,888","347","25,314","394","10,458,391","278,655","37,531,745","Africa"
"Greece","945,095","+6,192","18,234","+77","850,711","+7,661","76,150","690","91,308","1,762","36,708,282","3,546,461","10,350,679","Europe"
"Georgia","850,102","+4,459","12,119","+65","792,158","+3,957","45,825","","213,686","3,046","11,612,050","2,918,860","3,978,283","Asia"
"Nepal","821,651","+285","11,529","+3","803,168","+259","6,954","","27,498","386","4,633,479","155,068","29,880,391","Asia"
"UAE","742,109","+68","2,148","+1","737,024","+85","2,937","","73,768","214","101,637,361","10,103,048","10,060,069","Asia"
